"tag_id","name","category","count","ja_name","work_hint","confidence","note"
"385430","hatsune_miku","4","89677","初音ミク","VOCALOID","high",""
"12239","hakurei_reimu","4","73962","博麗霊夢","東方Project","high",""
"12242","kirisame_marisa","4","67226","霧雨魔理沙","東方Project","high",""
"12248","remilia_scarlet","4","49813","レミリア・スカーレット","東方Project","high",""
"12249","flandre_scarlet","4","48265","フランドール・スカーレット","東方Project","high",""
"12314","izayoi_sakuya","4","44493","十六夜咲夜","東方Project","high",""
"1301082","admiral_(kancolle)","4","37303","提督","艦隊これくしょん -艦これ-","high","プレイヤー/役職タグ"
"1478495","artoria_pendragon_(fate)","4","35675","アルトリア・ペンドラゴン","Fate","high",""
"388200","kochiya_sanae","4","34152","東風谷早苗","東方Project","high",""
"9123","alice_margatroid","4","33846","アリス・マーガトロイド","東方Project","high",""
"12247","patchouli_knowledge","4","33570","パチュリー・ノーレッジ","東方Project","high",""
"12244","konpaku_youmu","4","33386","魂魄妖夢","東方Project","high",""
"1720","cirno","4","33294","チルノ","東方Project","high",""
"427142","komeiji_koishi","4","31713","古明地こいし","東方Project","high",""
"12246","yakumo_yukari","4","31287","八雲紫","東方Project","high",""
"12308","shameimaru_aya","4","27523","射命丸文","東方Project","high",""
"12304","reisen_udongein_inaba","4","26079","鈴仙・優曇華院・イナバ","東方Project","high",""
"12307","fujiwara_no_mokou","4","25741","藤原妹紅","東方Project","high",""
"427143","komeiji_satori","4","24629","古明地さとり","東方Project","high",""
"11374","hong_meiling","4","24348","紅美鈴","東方Project","high",""
"592924","akemi_homura","4","24201","暁美ほむら","魔法少女まどか☆マギカ","high",""
"12245","saigyouji_yuyuko","4","23212","西行寺幽々子","東方Project","high",""
"592925","kaname_madoka","4","23211","鹿目まどか","魔法少女まどか☆マギカ","high",""
"395218","inubashiri_momiji","4","21718","犬走椛","東方Project","high",""
"1631074","kaga_(kancolle)","4","21127","加賀","艦隊これくしょん -艦これ-","high",""
"12250","yakumo_ran","4","19328","八雲藍","東方Project","high",""
"390427","kagamine_rin","4","19045","鏡音リン","VOCALOID","high",""
"602257","konpaku_youmu_(ghost)","4","18383","魂魄妖夢（半霊）","東方Project","medium","派生/部位タグとして要確認"
"427145","kaenbyou_rin","4","18358","火焔猫燐","東方Project","high",""
"384842","moriya_suwako","4","18215","洩矢諏訪子","東方Project","high",""
"2082","rumia","4","18126","ルーミア","東方Project","high",""
"1275729","shimakaze_(kancolle)","4","17717","島風","艦隊これくしょん -艦これ-","high",""
"401582","kazami_yuuka","4","17493","風見幽香","東方Project","high",""
"593109","miki_sayaka","4","17374","美樹さやか","魔法少女まどか☆マギカ","high",""
"427184","reiuji_utsuho","4","17240","霊烏路空","東方Project","high",""
"474","chen","4","17156","橙","東方Project","high",""
"1213183","saber_(fate)","4","16702","セイバー","Fate","high","クラス名/通称タグ"
"1602203","ganyu_(genshin_impact)","4","16652","甘雨","原神","high",""
"1275718","hibiki_(kancolle)","4","16538","響","艦隊これくしょん -艦これ-","high",""
"1414209","mash_kyrielight","4","16080","マシュ・キリエライト","Fate","high",""
"473327","tatara_kogasa","4","15983","多々良小傘","東方Project","high",""
"383392","kawashiro_nitori","4","15870","河城にとり","東方Project","high",""
"12302","kamishirasawa_keine","4","15819","上白沢慧音","東方Project","high",""
"1275728","shigure_(kancolle)","4","15718","時雨","艦隊これくしょん -艦これ-","high",""
"415326","hinanawi_tenshi","4","15462","比那名居天子","東方Project","high",""
"604258","sakura_kyoko","4","14872","佐倉杏子","魔法少女まどか☆マギカ","high",""
"593108","tomoe_mami","4","14796","巴マミ","魔法少女まどか☆マギカ","high",""
"12306","houraisan_kaguya","4","14523","蓬莱山輝夜","東方Project","high",""
"1799","koakuma","4","14297","小悪魔","東方Project","high",""
"12300","mystia_lorelei","4","14283","ミスティア・ローレライ","東方Project","high",""
"475833","souryuu_asuka_langley","4","13517","惣流・アスカ・ラングレー","新世紀エヴァンゲリオン","high",""
"12303","inaba_tewi","4","13472","因幡てゐ","東方Project","high",""
"12313","ibuki_suika","4","13410","伊吹萃香","東方Project","high",""
"1350122","kongou_(kancolle)","4","13408","金剛","艦隊これくしょん -艦これ-","high",""
"473267","nazrin","4","12879","ナズーリン","東方Project","high",""
"1275720","inazuma_(kancolle)","4","12856","電","艦隊これくしょん -艦これ-","high",""
"503349","hijiri_byakuren","4","12693","聖白蓮","東方Project","high",""
"1613000","warrior_of_light_(ff14)","4","12512","光の戦士","FINAL FANTASY XIV","high","プレイヤー/主人公通称タグ"
"1630449","akagi_(kancolle)","4","12451","赤城","艦隊これくしょん -艦これ-","high",""
"393597","kagamine_len","4","12419","鏡音レン","VOCALOID","high",""
"6313","link","4","12385","リンク","ゼルダの伝説","high",""
"1686237","raiden_shogun","4","12239","雷電将軍","原神","high",""
"1473623","tamamo_(fate)","4","12070","玉藻の前","Fate","medium","tag名は短縮形のため要確認"
"503343","houjuu_nue","4","12031","封獣ぬえ","東方Project","high",""
"1581467","lumine_(genshin_impact)","4","11757","蛍","原神","high",""
"1533309","houshou_marine","4","11739","宝鐘マリン","ホロライブ","high",""
"1270870","tenryuu_(kancolle)","4","11481","天龍","艦隊これくしょん -艦これ-","high",""
"1391753","fujimaru_ritsuka_(male)","4","11472","藤丸立香（男性）","Fate","high",""
"384841","yasaka_kanako","4","11452","八坂神奈子","東方Project","high",""
"1593594","gawr_gura","4","11448","がうる・ぐら","ホロライブ","high",""
"1631504","yuudachi_(kancolle)","4","11386","夕立","艦隊これくしょん -艦これ-","high",""
"12305","yagokoro_eirin","4","11356","八意永琳","東方Project","high",""
"1391754","fujimaru_ritsuka_(female)","4","11288","藤丸立香（女性）","Fate","high",""
"457810","megurine_luka","4","11218","巡音ルカ","VOCALOID","high",""
"1479739","jeanne_d'arc_alter_(fate)","4","11062","ジャンヌ・ダルク〔オルタ〕","Fate","high",""
"413783","mizuhashi_parsee","4","10974","水橋パルスィ","東方Project","high",""
