tag_id,name,category,count,zh_name,zh_name_2,source,confidence,note,donmai_url,api_status,
9999999,general,9,1589178,,,danbooru_api_no_chinese,low,auth_failed_used_anonymous,https://danbooru.donmai.us/wiki_pages/general,ok,
9999998,sensitive,9,3994361,,,danbooru_api_no_chinese,low,auth_failed_used_anonymous,https://danbooru.donmai.us/wiki_pages/sensitive,ok,
9999997,questionable,9,892496,,,danbooru_api_no_chinese,low,auth_failed_used_anonymous,https://danbooru.donmai.us/wiki_pages/questionable,ok,
9999996,explicit,9,706509,,,danbooru_api_no_chinese,low,auth_failed_used_anonymous,https://danbooru.donmai.us/wiki_pages/explicit,ok,
470575,1girl,0,5113288,1个女性,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/1girl,,
212816,solo,0,4253220,单独人物,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/solo,,
13197,long_hair,0,3645082,长发,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/long_hair,,
8601,breasts,0,2889545,乳房,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/breasts,,
469576,looking_at_viewer,0,2696730,看向阅图者,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/looking_at_viewer,,
3389,blush,0,2496356,脸红,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/blush,,
1815,smile,0,2365730,微笑|笑容,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/smile,,
11906,open_mouth,0,1950469,张嘴的,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/open_mouth,,
15080,short_hair,0,1904624,短发,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/short_hair,,
10959,blue_eyes,0,1490640,蓝眼睛,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/blue_eyes,,
412368,simple_background,0,1420030,朴素的背景,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/simple_background,,
12590,shirt,0,1382452,衬衫,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/shirt,,
403247,large_breasts,0,1333379,巨乳,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/large_breasts,,
429,skirt,0,1328225,短裙,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/skirt,,
87788,blonde_hair,0,1311581,金发,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/blonde_hair,,
566835,multiple_girls,0,1309199,多个女孩,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/multiple_girls,,
16867,brown_hair,0,1267072,棕色头发,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/brown_hair,,
13200,black_hair,0,1225953,黑发,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/black_hair,,
383159,long_sleeves,0,1199349,长袖,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/long_sleeves,,
380350,hair_ornament,0,1175185,发饰,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/hair_ornament,,
515193,white_background,0,1161729,白色背景,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/white_background,,
540830,1boy,0,1129709,1个男性,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/1boy,,
5735,gloves,0,1113040,手套,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/gloves,,
8526,red_eyes,0,1081613,红眼睛,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/red_eyes,,
2241,dress,0,1046050,连衣裙,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/dress,,
1882,thighhighs,0,1034635,过膝袜和裤袜,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/thighhighs,,
2373,hat,0,1034610,帽子,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/hat,,
375387,holding,0,1022399,拿着某物,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/holding,,
4563,bow,0,984380,蝴蝶结,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/bow,,
9294,navel,0,974528,肚脐,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/navel,,
6126,animal_ears,0,950191,兽耳,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/animal_ears,,
464575,ribbon,0,937186,丝带|缎带,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/ribbon,,
658573,hair_between_eyes,0,922798,延伸到两眼之间的刘海,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/hair_between_eyes,,
572080,closed_mouth,0,876401,闭着的嘴,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/closed_mouth,,
1821,2girls,0,860944,2个女性,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/2girls,,
4607,cleavage,0,848453,乳沟,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/cleavage,,
16613,jewelry,0,829749,珠宝,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/jewelry,,
376054,bare_shoulders,0,815753,露肩,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/bare_shoulders,,
417660,very_long_hair,0,783428,很长的头发,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/very_long_hair,,
12289,sitting,0,782247,坐,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/sitting,,
1709,twintails,0,770972,双马尾,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/twintails,,
667868,medium_breasts,0,770389,普通罩杯的胸,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/medium_breasts,,
16578,brown_eyes,0,747352,棕色的眼睛,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/brown_eyes,,
15675,standing,0,733225,站立的,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/standing,,
8889,nipples,0,717669,乳头,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/nipples,,
10960,green_eyes,0,711390,绿色的眼镜,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/green_eyes,,
464906,underwear,0,706352,内衣,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/underwear,,
10953,blue_hair,0,704952,蓝色头发,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/blue_hair,,
3843,jacket,0,700303,夹克,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/jacket,,
16509,school_uniform,0,688100,校服,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/school_uniform,,
15654,purple_eyes,0,669153,紫色的眼睛,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/purple_eyes,,
466499,collarbone,0,655630,锁骨,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/collarbone,,
15674,tail,0,634183,尾巴,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/tail,,
376766,white_shirt,0,629056,白衬衫,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/white_shirt,,
608813,full_body,0,624413,全身|画出了全身,,dictionary01,high,,https://danbooru.donmai.us/wiki_pages/full_body,,
