"tag_id","name","category","count","ja_name","zh_name","work_hint","confidence","note"
"1405419","lucky_beast_(kemono_friends)","4","1941","ラッキービースト","幸运兽","けものフレンズ","high",""
"1292966","asui_tsuyu","4","1938","蛙吹梅雨","蛙吹梅雨","僕のヒーローアカデミア","high",""
"1634345","izuna_(blue_archive)","4","1937","久田イズナ","久田泉奈","ブルーアーカイブ","high",""
"1613891","albedo_(genshin_impact)","4","1936","アルベド","阿贝多","原神","high",""
"10546","vegeta","4","1935","ベジータ","贝吉塔","ドラゴンボール","high",""
"1425456","seele_vollerei","4","1935","ゼーレ・フェレライ","希儿·芙乐艾","崩壊3rd","high",""
"1596245","kaeya_(genshin_impact)","4","1929","ガイア","凯亚","原神","high",""
"1678981","kujou_sara","4","1927","九条裟羅","九条裟罗","原神","high",""
"7477","noumi_kudryavka","4","1925","能美クドリャフカ","能美库特莉亚芙卡","リトルバスターズ!","high",""
"1838442","alhaitham_(genshin_impact)","4","1919","アルハイゼン","艾尔海森","原神","high",""
"1629435","krista_lenz","4","1919","クリスタ・レンズ","克里斯塔·连兹","進撃の巨人","high",""
"1978894","9s_(nier:automata)","4","1917","9S（ヨルハ九号S型）","9S（尤尔哈九号S型）","NieR:Automata","high",""
"1667145","ak-12_(girls'_frontline)","4","1915","AK-12","AK-12","ドールズフロントライン","high",""
"1160566","blake_belladonna","4","1914","ブレイク・ベラドンナ","布蕾克·贝拉多娜","RWBY","high",""
"1517401","lize_helesta","4","1913","リゼ・ヘルエスタ","莉泽·赫露艾斯塔","にじさんじ","high",""
"1239070","akatsuki_kirika","4","1911","暁切歌","晓切歌","戦姫絶唱シンフォギア","high",""
"713731","tedeza_rize","4","1910","天々座理世","天天座理世","ご注文はうさぎですか?","high",""
"384405","irisviel_von_einzbern","4","1909","アイリスフィール・フォン・アインツベルン","爱丽丝菲尔·冯·爱因兹贝伦","Fate","high",""
"1317200","endeavor_(boku_no_hero_academia)","4","1909","エンデヴァー","安德瓦","僕のヒーローアカデミア","high",""
"1542251","orange_pekoe_(girls_und_panzer)","4","1908","オレンジペコ","橙黄白毫","ガールズ&パンツァー","medium","中文表記揺れ要確認"
"568921","aegis_(persona)","4","1905","アイギス","埃癸斯","ペルソナ3","high",""
"1630542","choukai_(kancolle)","4","1902","鳥海","鸟海","艦隊これくしょん -艦これ-","high",""
"1522661","angelina_(arknights)","4","1902","アンジェリーナ","安洁莉娜","アークナイツ","high",""
"1268743","ujimatsu_chiya","4","1901","宇治松千夜","宇治松千夜","ご注文はうさぎですか?","high",""
"7794","aino_minako","4","1900","愛野美奈子","爱野美奈子","美少女戦士セーラームーン","high",""
"467096","leaf_(pokemon)","4","1898","リーフ","叶子","ポケットモンスター","high",""
"445901","gengar","4","1896","ゲンガー","耿鬼","ポケットモンスター","high",""
"1387748","katsuki_yuuri","4","1890","勝生勇利","胜生勇利","ユーリ!!! on ICE","high",""
"1631112","kinugasa_(kancolle)","4","1888","衣笠","衣笠","艦隊これくしょん -艦これ-","high",""
"596343","mima_(touhou)","4","1883","魅魔","魅魔","東方Project","high",""
"700409","tsumiki_mikan","4","1883","罪木蜜柑","罪木蜜柑","ダンガンロンパ","high",""
"1886280","robin_(female)_(fire_emblem)","4","1881","ルフレ（女）","鲁弗莱（女）","ファイアーエムブレム","high",""
"1631376","suzutsuki_(kancolle)","4","1881","涼月","凉月","艦隊これくしょん -艦これ-","high",""
"1631244","noshiro_(kancolle)","4","1880","能代","能代","艦隊これくしょん -艦これ-","high",""
"1629361","ushiwakamaru_(fate)","4","1878","牛若丸","牛若丸","Fate","high",""
"1693513","elizabeth_bathory_(fate/extra_ccc)","4","1876","エリザベート・バートリー","伊丽莎白·巴托里","Fate/EXTRA CCC","high",""
"1971293","hanako_(swimsuit)_(blue_archive)","4","1874","浦和ハナコ（水着）","浦和花子（泳装）","ブルーアーカイブ","high","衣装差分"
"1440145","javelin_(azur_lane)","4","1873","ジャベリン","标枪","アズールレーン","high",""
"1933175","nekomata_okayu_(1st_costume)","4","1872","猫又おかゆ（初期衣装）","猫又小粥（初始服装）","ホロライブ","high","衣装差分"
"1577501","lisa_(genshin_impact)","4","1872","リサ","丽莎","原神","high",""
"1972134","vita_(nanoha)","4","1871","ヴィータ","维塔","魔法少女リリカルなのは","high",""
"433649","johnny_joestar","4","1871","ジョニィ・ジョースター","乔尼·乔斯达","ジョジョの奇妙な冒険","high",""
"1387712","viktor_nikiforov","4","1869","ヴィクトル・ニキフォロフ","维克托·尼基福罗夫","ユーリ!!! on ICE","high",""
"1593680","ashiya_douman_(fate)","4","1869","蘆屋道満","芦屋道满","Fate","high",""
"567872","n_(pokemon)","4","1866","N","N","ポケットモンスター","high",""
"1618002","slime_(genshin_impact)","4","1866","スライム","史莱姆","原神","high",""
"1631163","maru-yu_(kancolle)","4","1864","まるゆ","丸优","艦隊これくしょん -艦これ-","high",""
"1654650","skadi_the_corrupting_heart_(arknights)","4","1864","濁心スカジ","浊心斯卡蒂","アークナイツ","high",""
"1631425","teruzuki_(kancolle)","4","1863","照月","照月","艦隊これくしょん -艦これ-","high",""
"1933211","nanashi_mumei_(1st_costume)","4","1861","七詩ムメイ（初期衣装）","七诗无名（初始服装）","ホロライブ","medium","中文表記揺れ要確認/衣装差分"
"664359","tachibana_hibiki_(symphogear)","4","1860","立花響","立花响","戦姫絶唱シンフォギア","high",""
"1631225","nagatsuki_(kancolle)","4","1860","長月","长月","艦隊これくしょん -艦これ-","high",""
"1539717","reze_(chainsaw_man)","4","1860","レゼ","蕾塞","チェンソーマン","high",""
"383738","vivio","4","1857","ヴィヴィオ","薇薇欧","魔法少女リリカルなのは","high",""
"1403842","chiyoda_momo","4","1856","千代田桃","千代田桃","まちカドまぞく","high",""
"1629420","jeanne_d'arc_alter_santa_lily_(fate)","4","1852","ジャンヌ・ダルク・オルタ・サンタ・リリィ","贞德Alter圣诞Lily","Fate","high",""
"1408471","camilla_(fire_emblem)","4","1851","カミラ","卡米拉","ファイアーエムブレム","high",""
"1657251","elira_pendora","4","1840","エリーラ ペンドラ","艾莉拉·潘多拉","にじさんじ","medium","中文表記揺れ要確認"
"301250","yae_sakura","4","1839","八重桜","八重樱","崩壊3rd","high",""
"753977","sinon","4","1836","シノン","诗乃","ソードアート・オンライン","high",""
"681874","shiomi_syuko","4","1835","塩見周子","盐见周子","アイドルマスター シンデレラガールズ","high",""
"1670933","index_(toaru_majutsu_no_index)","4","1833","インデックス","茵蒂克丝","とあるシリーズ","high",""
"1734277","oda_nobunaga_(koha-ace)","4","1832","織田信長（コハエース）","织田信长（KOHA-ACE）","Fate","high",""
"1581062","shiomi_kotone","4","1829","汐見琴音","汐见琴音","ペルソナ3","medium","女性主人公名として要確認"
"1446811","st._louis_(azur_lane)","4","1828","セントルイス","圣路易斯","アズールレーン","high",""
"8276","bardiche","4","1827","バルディッシュ","巴鲁迪修","魔法少女リリカルなのは","medium","デバイス/武器タグ"
"1670940","last_order_(toaru_majutsu_no_index)","4","1821","打ち止め","最终信号","とあるシリーズ","high",""
"601490","monokuma","4","1821","モノクマ","黑白熊","ダンガンロンパ","high",""
"1631102","katsuragi_(kancolle)","4","1815","葛城","葛城","艦隊これくしょん -艦これ-","high",""
"1459802","shirase_sakuya","4","1814","白瀬咲耶","白濑咲耶","アイドルマスター シャイニーカラーズ","high",""
"1383241","lusamine_(pokemon)","4","1813","ルザミーネ","露莎米奈","ポケットモンスター","high",""
"716185","nishizumi_shiho","4","1810","西住しほ","西住志穗","ガールズ&パンツァー","high",""
"628777","yuzuriha_inori","4","1807","楪いのり","楪祈","ギルティクラウン","high",""
"1300728","oumae_kumiko","4","1805","黄前久美子","黄前久美子","響け!ユーフォニアム","high",""
