"tag_id","name","category","count","ja_name","zh_name","work_hint","confidence","note"
"385430","hatsune_miku","4","89677","初音ミク","初音未来","VOCALOID","high",""
"12239","hakurei_reimu","4","73962","博麗霊夢","博丽灵梦","東方Project","high",""
"12242","kirisame_marisa","4","67226","霧雨魔理沙","雾雨魔理沙","東方Project","high",""
"12248","remilia_scarlet","4","49813","レミリア・スカーレット","蕾米莉亚·斯卡蕾特","東方Project","high",""
"12249","flandre_scarlet","4","48265","フランドール・スカーレット","芙兰朵露·斯卡蕾特","東方Project","high",""
"12314","izayoi_sakuya","4","44493","十六夜咲夜","十六夜咲夜","東方Project","high",""
"1301082","admiral_(kancolle)","4","37303","提督","提督","艦隊これくしょん -艦これ-","high","プレイヤー/役職タグ"
"1478495","artoria_pendragon_(fate)","4","35675","アルトリア・ペンドラゴン","阿尔托莉雅·潘德拉贡","Fate","high",""
"388200","kochiya_sanae","4","34152","東風谷早苗","东风谷早苗","東方Project","high",""
"9123","alice_margatroid","4","33846","アリス・マーガトロイド","爱丽丝·玛格特洛依德","東方Project","high",""
"12247","patchouli_knowledge","4","33570","パチュリー・ノーレッジ","帕秋莉·诺蕾姬","東方Project","high",""
"12244","konpaku_youmu","4","33386","魂魄妖夢","魂魄妖梦","東方Project","high",""
"1720","cirno","4","33294","チルノ","琪露诺","東方Project","high",""
"427142","komeiji_koishi","4","31713","古明地こいし","古明地恋","東方Project","high",""
"12246","yakumo_yukari","4","31287","八雲紫","八云紫","東方Project","high",""
"12308","shameimaru_aya","4","27523","射命丸文","射命丸文","東方Project","high",""
"12304","reisen_udongein_inaba","4","26079","鈴仙・優曇華院・イナバ","铃仙·优昙华院·因幡","東方Project","high",""
"12307","fujiwara_no_mokou","4","25741","藤原妹紅","藤原妹红","東方Project","high",""
"427143","komeiji_satori","4","24629","古明地さとり","古明地觉","東方Project","high",""
"11374","hong_meiling","4","24348","紅美鈴","红美铃","東方Project","high",""
"592924","akemi_homura","4","24201","暁美ほむら","晓美焰","魔法少女まどか☆マギカ","high",""
"12245","saigyouji_yuyuko","4","23212","西行寺幽々子","西行寺幽幽子","東方Project","high",""
"592925","kaname_madoka","4","23211","鹿目まどか","鹿目圆","魔法少女まどか☆マギカ","high",""
"395218","inubashiri_momiji","4","21718","犬走椛","犬走椛","東方Project","high",""
"1631074","kaga_(kancolle)","4","21127","加賀","加贺","艦隊これくしょん -艦これ-","high",""
"12250","yakumo_ran","4","19328","八雲藍","八云蓝","東方Project","high",""
"390427","kagamine_rin","4","19045","鏡音リン","镜音铃","VOCALOID","high",""
"602257","konpaku_youmu_(ghost)","4","18383","魂魄妖夢（半霊）","魂魄妖梦（半灵）","東方Project","medium","派生/部位タグとして要確認"
"427145","kaenbyou_rin","4","18358","火焔猫燐","火焰猫燐","東方Project","high",""
"384842","moriya_suwako","4","18215","洩矢諏訪子","泄矢诹访子","東方Project","high",""
"2082","rumia","4","18126","ルーミア","露米娅","東方Project","high",""
"1275729","shimakaze_(kancolle)","4","17717","島風","岛风","艦隊これくしょん -艦これ-","high",""
"401582","kazami_yuuka","4","17493","風見幽香","风见幽香","東方Project","high",""
"593109","miki_sayaka","4","17374","美樹さやか","美树沙耶香","魔法少女まどか☆マギカ","high",""
"427184","reiuji_utsuho","4","17240","霊烏路空","灵乌路空","東方Project","high",""
"474","chen","4","17156","橙","橙","東方Project","high",""
"1213183","saber_(fate)","4","16702","セイバー","Saber","Fate","high","クラス名/通称タグ"
"1602203","ganyu_(genshin_impact)","4","16652","甘雨","甘雨","原神","high",""
